Location,Indicator,Subject,Measure,Year,Month,Frequency,Value
AUS,HUR,TOT,PC_LF,2020,01,M,5.269611
AUS,HUR,TOT,PC_LF,2020,02,M,5.0816230000000004
AUS,HUR,TOT,PC_LF,2020,03,M,5.2201010000000005
AUS,HUR,TOT,PC_LF,2020,04,M,6.358871
AUS,HUR,TOT,PC_LF,2020,05,M,7.068942
AUS,HUR,TOT,PC_LF,2020,06,M,7.440282000000001
AUS,HUR,TOT,PC_LF,2020,07,M,7.479592
AUS,HUR,TOT,PC_LF,2020,08,M,6.807751
AUS,HUR,TOT,PC_LF,2020,09,M,6.913334
AUS,HUR,TOT,PC_LF,2020,10,M,6.996009
AUT,HUR,TOT,PC_LF,2020,01,M,4.4
AUT,HUR,TOT,PC_LF,2020,02,M,4.5
AUT,HUR,TOT,PC_LF,2020,03,M,4.6
AUT,HUR,TOT,PC_LF,2020,04,M,4.7
AUT,HUR,TOT,PC_LF,2020,05,M,5.7
AUT,HUR,TOT,PC_LF,2020,06,M,5.9
AUT,HUR,TOT,PC_LF,2020,07,M,5.7
AUT,HUR,TOT,PC_LF,2020,08,M,5.5
AUT,HUR,TOT,PC_LF,2020,09,M,5.4
AUT,HUR,TOT,PC_LF,2020,10,M,5.4
BEL,HUR,TOT,PC_LF,2020,01,M,5.1
BEL,HUR,TOT,PC_LF,2020,02,M,5.0
BEL,HUR,TOT,PC_LF,2020,03,M,5.0
BEL,HUR,TOT,PC_LF,2020,04,M,5.1
BEL,HUR,TOT,PC_LF,2020,05,M,5.0
BEL,HUR,TOT,PC_LF,2020,06,M,5.0
BEL,HUR,TOT,PC_LF,2020,07,M,5.0
BEL,HUR,TOT,PC_LF,2020,08,M,5.1
BEL,HUR,TOT,PC_LF,2020,09,M,5.2
BEL,HUR,TOT,PC_LF,2020,10,M,5.1
CAN,HUR,TOT,PC_LF,2020,01,M,5.5
CAN,HUR,TOT,PC_LF,2020,02,M,5.6
CAN,HUR,TOT,PC_LF,2020,03,M,7.8
CAN,HUR,TOT,PC_LF,2020,04,M,13.0
CAN,HUR,TOT,PC_LF,2020,05,M,13.7
CAN,HUR,TOT,PC_LF,2020,06,M,12.3
CAN,HUR,TOT,PC_LF,2020,07,M,10.9
CAN,HUR,TOT,PC_LF,2020,08,M,10.2
CAN,HUR,TOT,PC_LF,2020,09,M,9.0
CAN,HUR,TOT,PC_LF,2020,10,M,8.9
CZE,HUR,TOT,PC_LF,2020,01,M,2.0
CZE,HUR,TOT,PC_LF,2020,02,M,2.0
CZE,HUR,TOT,PC_LF,2020,03,M,2.1
CZE,HUR,TOT,PC_LF,2020,04,M,2.2
CZE,HUR,TOT,PC_LF,2020,05,M,2.4
CZE,HUR,TOT,PC_LF,2020,06,M,2.7
CZE,HUR,TOT,PC_LF,2020,07,M,2.7
CZE,HUR,TOT,PC_LF,2020,08,M,2.8
CZE,HUR,TOT,PC_LF,2020,09,M,2.8
CZE,HUR,TOT,PC_LF,2020,10,M,2.9
DNK,HUR,TOT,PC_LF,2020,01,M,4.9
DNK,HUR,TOT,PC_LF,2020,02,M,4.9
DNK,HUR,TOT,PC_LF,2020,03,M,4.8
DNK,HUR,TOT,PC_LF,2020,04,M,4.9
DNK,HUR,TOT,PC_LF,2020,05,M,5.5
DNK,HUR,TOT,PC_LF,2020,06,M,6.0
DNK,HUR,TOT,PC_LF,2020,07,M,6.3
DNK,HUR,TOT,PC_LF,2020,08,M,6.3
DNK,HUR,TOT,PC_LF,2020,09,M,6.0
DNK,HUR,TOT,PC_LF,2020,10,M,5.8
FIN,HUR,TOT,PC_LF,2020,01,M,6.9
FIN,HUR,TOT,PC_LF,2020,02,M,6.5
FIN,HUR,TOT,PC_LF,2020,03,M,6.7
FIN,HUR,TOT,PC_LF,2020,04,M,7.3
FIN,HUR,TOT,PC_LF,2020,05,M,8.0
FIN,HUR,TOT,PC_LF,2020,06,M,7.9
FIN,HUR,TOT,PC_LF,2020,07,M,8.6
FIN,HUR,TOT,PC_LF,2020,08,M,8.5
FIN,HUR,TOT,PC_LF,2020,09,M,8.3
FIN,HUR,TOT,PC_LF,2020,10,M,8.3
FRA,HUR,TOT,PC_LF,2020,01,M,7.7
FRA,HUR,TOT,PC_LF,2020,02,M,7.5
FRA,HUR,TOT,PC_LF,2020,03,M,8.0
FRA,HUR,TOT,PC_LF,2020,04,M,7.3
FRA,HUR,TOT,PC_LF,2020,05,M,7.2
FRA,HUR,TOT,PC_LF,2020,06,M,6.9
FRA,HUR,TOT,PC_LF,2020,07,M,9.4
FRA,HUR,TOT,PC_LF,2020,08,M,9.0
FRA,HUR,TOT,PC_LF,2020,09,M,8.8
FRA,HUR,TOT,PC_LF,2020,10,M,8.6
DEU,HUR,TOT,PC_LF,2020,01,M,3.4
DEU,HUR,TOT,PC_LF,2020,02,M,3.6
DEU,HUR,TOT,PC_LF,2020,03,M,3.8
DEU,HUR,TOT,PC_LF,2020,04,M,4.0
DEU,HUR,TOT,PC_LF,2020,05,M,4.2
DEU,HUR,TOT,PC_LF,2020,06,M,4.3
DEU,HUR,TOT,PC_LF,2020,07,M,4.4
DEU,HUR,TOT,PC_LF,2020,08,M,4.5
DEU,HUR,TOT,PC_LF,2020,09,M,4.5
DEU,HUR,TOT,PC_LF,2020,10,M,4.5
GRC,HUR,TOT,PC_LF,2020,01,M,16.1
GRC,HUR,TOT,PC_LF,2020,02,M,15.9
GRC,HUR,TOT,PC_LF,2020,03,M,15.6
GRC,HUR,TOT,PC_LF,2020,04,M,15.7
GRC,HUR,TOT,PC_LF,2020,05,M,17.7
GRC,HUR,TOT,PC_LF,2020,06,M,17.5
GRC,HUR,TOT,PC_LF,2020,07,M,17.0
GRC,HUR,TOT,PC_LF,2020,08,M,16.8
HUN,HUR,TOT,PC_LF,2020,01,M,3.4
HUN,HUR,TOT,PC_LF,2020,02,M,3.6
HUN,HUR,TOT,PC_LF,2020,03,M,3.7
HUN,HUR,TOT,PC_LF,2020,04,M,4.1
HUN,HUR,TOT,PC_LF,2020,05,M,4.8
